Kernel type,Num cols,Init buffer size,Num bytes,Num Blocks,Num threads,Kernel Time,Malloc Count,Kernel malloc,Vec malloc,Next buf malloc,Free,Result total len
WarpLevel (Gallatin),1,1024,4000,1,64,0.069,5,2,3,0,4,784
PrefixSum,1,1024,4000,1,64,0.064,0,0,0,0,0,784
WarpLevel (Gallatin),1,1024,4000,1,128,0.060,9,4,5,0,8,784
PrefixSum,1,1024,4000,1,128,0.055,0,0,0,0,0,784
WarpLevel (Gallatin),1,1024,4000,1,256,0.046,17,8,9,0,16,784
PrefixSum,1,1024,4000,1,256,0.043,0,0,0,0,0,784
WarpLevel (Gallatin),1,1024,4000,8,64,0.038,33,16,17,0,32,784
PrefixSum,1,1024,4000,8,64,0.043,0,0,0,0,0,784
WarpLevel (Gallatin),1,1024,4000,8,128,0.045,65,32,33,0,64,784
PrefixSum,1,1024,4000,8,128,0.043,0,0,0,0,0,784
WarpLevel (Gallatin),1,1024,4000,8,256,0.050,129,64,65,0,128,784
PrefixSum,1,1024,4000,8,256,0.040,0,0,0,0,0,784
WarpLevel (Gallatin),1,1024,4000,32,64,0.065,129,64,65,0,128,784
PrefixSum,1,1024,4000,32,64,0.040,0,0,0,0,0,784
WarpLevel (Gallatin),1,1024,4000,32,128,0.081,257,128,129,0,256,784
PrefixSum,1,1024,4000,32,128,0.040,0,0,0,0,0,784
WarpLevel (Gallatin),1,1024,4000,32,256,0.119,513,256,257,0,512,784
PrefixSum,1,1024,4000,32,256,0.044,0,0,0,0,0,784
WarpLevel (Gallatin),1,1024,4000,128,64,0.241,513,256,257,0,512,784
PrefixSum,1,1024,4000,128,64,0.039,0,0,0,0,0,784
WarpLevel (Gallatin),1,1024,4000,128,128,0.298,1025,512,513,0,1024,784
PrefixSum,1,1024,4000,128,128,0.039,0,0,0,0,0,784
WarpLevel (Gallatin),1,1024,4000,128,256,0.432,2049,1024,1025,0,2048,784
PrefixSum,1,1024,4000,128,256,0.039,0,0,0,0,0,784
WarpLevel (Gallatin),1,1024,40000,1,64,0.174,9,2,3,4,8,7962
PrefixSum,1,1024,40000,1,64,0.113,0,0,0,0,0,7962
WarpLevel (Gallatin),1,1024,40000,1,128,0.105,13,4,5,4,12,7962
PrefixSum,1,1024,40000,1,128,0.079,0,0,0,0,0,7962
WarpLevel (Gallatin),1,1024,40000,1,256,0.069,17,8,9,0,16,7962
PrefixSum,1,1024,40000,1,256,0.063,0,0,0,0,0,7962
WarpLevel (Gallatin),1,1024,40000,8,64,0.045,33,16,17,0,32,7962
PrefixSum,1,1024,40000,8,64,0.048,0,0,0,0,0,7962
WarpLevel (Gallatin),1,1024,40000,8,128,0.045,65,32,33,0,64,7962
PrefixSum,1,1024,40000,8,128,0.044,0,0,0,0,0,7962
WarpLevel (Gallatin),1,1024,40000,8,256,0.055,129,64,65,0,128,7962
PrefixSum,1,1024,40000,8,256,0.042,0,0,0,0,0,7962
WarpLevel (Gallatin),1,1024,40000,32,64,0.075,129,64,65,0,128,7962
PrefixSum,1,1024,40000,32,64,0.043,0,0,0,0,0,7962
WarpLevel (Gallatin),1,1024,40000,32,128,0.087,257,128,129,0,256,7962
PrefixSum,1,1024,40000,32,128,0.042,0,0,0,0,0,7962
WarpLevel (Gallatin),1,1024,40000,32,256,0.126,513,256,257,0,512,7962
PrefixSum,1,1024,40000,32,256,0.041,0,0,0,0,0,7962
WarpLevel (Gallatin),1,1024,40000,128,64,0.246,513,256,257,0,512,7962
PrefixSum,1,1024,40000,128,64,0.040,0,0,0,0,0,7962
WarpLevel (Gallatin),1,1024,40000,128,128,0.314,1025,512,513,0,1024,7962
PrefixSum,1,1024,40000,128,128,0.040,0,0,0,0,0,7962
WarpLevel (Gallatin),1,1024,40000,128,256,0.465,2049,1024,1025,0,2048,7962
PrefixSum,1,1024,40000,128,256,0.041,0,0,0,0,0,7962
WarpLevel (Gallatin),1,1024,4000000,1,64,17.990,21,2,3,16,20,799948
PrefixSum,1,1024,4000000,1,64,13.933,0,0,0,0,0,799948
WarpLevel (Gallatin),1,1024,4000000,1,128,8.439,37,4,5,28,36,799948
PrefixSum,1,1024,4000000,1,128,6.496,0,0,0,0,0,799948
WarpLevel (Gallatin),1,1024,4000000,1,256,4.443,65,8,9,48,64,799948
PrefixSum,1,1024,4000000,1,256,3.471,0,0,0,0,0,799948
WarpLevel (Gallatin),1,1024,4000000,8,64,2.142,113,16,17,80,112,799948
PrefixSum,1,1024,4000000,8,64,1.678,0,0,0,0,0,799948
WarpLevel (Gallatin),1,1024,4000000,8,128,1.136,193,32,33,128,192,799948
PrefixSum,1,1024,4000000,8,128,0.931,0,0,0,0,0,799948
WarpLevel (Gallatin),1,1024,4000000,8,256,0.662,321,64,65,192,320,799948
PrefixSum,1,1024,4000000,8,256,0.563,0,0,0,0,0,799948
WarpLevel (Gallatin),1,1024,4000000,32,64,0.644,321,64,65,192,320,799948
PrefixSum,1,1024,4000000,32,64,0.537,0,0,0,0,0,799948
WarpLevel (Gallatin),1,1024,4000000,32,128,0.423,513,128,129,256,512,799948
PrefixSum,1,1024,4000000,32,128,0.364,0,0,0,0,0,799948
WarpLevel (Gallatin),1,1024,4000000,32,256,0.401,1024,256,257,511,1023,799948
PrefixSum,1,1024,4000000,32,256,0.285,0,0,0,0,0,799948
WarpLevel (Gallatin),1,1024,4000000,128,64,0.511,1024,256,257,511,1023,799948
PrefixSum,1,1024,4000000,128,64,0.268,0,0,0,0,0,799948
WarpLevel (Gallatin),1,1024,4000000,128,128,0.508,1537,512,513,512,1536,799948
PrefixSum,1,1024,4000000,128,128,0.351,0,0,0,0,0,799948
WarpLevel (Gallatin),1,1024,4000000,128,256,0.531,2049,1024,1025,0,2048,799948
PrefixSum,1,1024,4000000,128,256,0.511,0,0,0,0,0,799948
WarpLevel (Gallatin),1,1024,40000000,1,64,165.733,27,2,3,22,26,8000738
PrefixSum,1,1024,40000000,1,64,123.816,0,0,0,0,0,8000738
WarpLevel (Gallatin),1,1024,40000000,1,128,83.455,49,4,5,40,48,8000738
PrefixSum,1,1024,40000000,1,128,64.451,0,0,0,0,0,8000738
WarpLevel (Gallatin),1,1024,40000000,1,256,43.343,89,8,9,72,88,8000738
PrefixSum,1,1024,40000000,1,256,35.510,0,0,0,0,0,8000738
WarpLevel (Gallatin),1,1024,40000000,8,64,21.599,161,16,17,128,160,8000738
PrefixSum,1,1024,40000000,8,64,16.375,0,0,0,0,0,8000738
WarpLevel (Gallatin),1,1024,40000000,8,128,11.070,289,32,33,224,288,8000738
PrefixSum,1,1024,40000000,8,128,8.523,0,0,0,0,0,8000738
WarpLevel (Gallatin),1,1024,40000000,8,256,5.592,513,64,65,384,512,8000738
PrefixSum,1,1024,40000000,8,256,4.515,0,0,0,0,0,8000738
WarpLevel (Gallatin),1,1024,40000000,32,64,5.343,513,64,65,384,512,8000738
PrefixSum,1,1024,40000000,32,64,4.277,0,0,0,0,0,8000738
WarpLevel (Gallatin),1,1024,40000000,32,128,2.995,897,128,129,640,896,8000738
PrefixSum,1,1024,40000000,32,128,2.721,0,0,0,0,0,8000738
WarpLevel (Gallatin),1,1024,40000000,32,256,2.885,1538,256,258,1024,1537,8000738
PrefixSum,1,1024,40000000,32,256,1.760,0,0,0,0,0,8000738
WarpLevel (Gallatin),1,1024,40000000,128,64,2.080,1538,256,258,1024,1537,8000738
PrefixSum,1,1024,40000000,128,64,1.597,0,0,0,0,0,8000738
WarpLevel (Gallatin),1,1024,40000000,128,128,2.440,3075,512,515,2048,3074,8000738
PrefixSum,1,1024,40000000,128,128,3.416,0,0,0,0,0,8000738
WarpLevel (Gallatin),1,1024,40000000,128,256,3.035,5123,1024,1027,3072,5122,8000738
PrefixSum,1,1024,40000000,128,256,6.440,0,0,0,0,0,8000738
WarpLevel (Gallatin),1,1024,400000000,1,64,1651.016,35,2,3,30,34,80000786
PrefixSum,1,1024,400000000,1,64,1238.551,0,0,0,0,0,80000786
WarpLevel (Gallatin),1,1024,400000000,1,128,834.394,65,4,5,56,64,80000786
PrefixSum,1,1024,400000000,1,128,651.969,0,0,0,0,0,80000786
WarpLevel (Gallatin),1,1024,400000000,1,256,435.859,121,8,9,104,120,80000786
PrefixSum,1,1024,400000000,1,256,338.794,0,0,0,0,0,80000786
WarpLevel (Gallatin),1,1024,400000000,8,64,207.594,225,16,17,192,224,80000786
PrefixSum,1,1024,400000000,8,64,156.814,0,0,0,0,0,80000786
WarpLevel (Gallatin),1,1024,400000000,8,128,104.920,417,32,33,352,416,80000786
PrefixSum,1,1024,400000000,8,128,80.805,0,0,0,0,0,80000786
WarpLevel (Gallatin),1,1024,400000000,8,256,54.582,769,64,65,640,768,80000786
PrefixSum,1,1024,400000000,8,256,44.985,0,0,0,0,0,80000786
WarpLevel (Gallatin),1,1024,400000000,32,64,52.694,769,64,65,640,768,80000786
PrefixSum,1,1024,400000000,32,64,42.865,0,0,0,0,0,80000786
WarpLevel (Gallatin),1,1024,400000000,32,128,28.188,1410,128,130,1152,1409,80000786
PrefixSum,1,1024,400000000,32,128,25.018,0,0,0,0,0,80000786
WarpLevel (Gallatin),1,1024,400000000,32,256,27.773,2563,256,259,2048,2562,80000786
PrefixSum,1,1024,400000000,32,256,17.325,0,0,0,0,0,80000786
WarpLevel (Gallatin),1,1024,400000000,128,64,15.587,2563,256,259,2048,2562,80000786
PrefixSum,1,1024,400000000,128,64,15.838,0,0,0,0,0,80000786
WarpLevel (Gallatin),1,1024,400000000,128,128,14.873,4611,512,515,3584,4610,80000786
PrefixSum,1,1024,400000000,128,128,35.221,0,0,0,0,0,80000786
WarpLevel (Gallatin),1,1024,400000000,128,256,18.613,8196,1024,1028,6144,8195,80000786
PrefixSum,1,1024,400000000,128,256,61.139,0,0,0,0,0,80000786
WarpLevel (Gallatin),2,1024,4000,1,64,0.040,5,2,3,0,4,784
PrefixSum,2,1024,4000,1,64,0.052,0,0,0,0,0,784
WarpLevel (Gallatin),2,1024,4000,1,128,0.034,9,4,5,0,8,784
PrefixSum,2,1024,4000,1,128,0.045,0,0,0,0,0,784
WarpLevel (Gallatin),2,1024,4000,1,256,0.035,17,8,9,0,16,784
PrefixSum,2,1024,4000,1,256,0.041,0,0,0,0,0,784
WarpLevel (Gallatin),2,1024,4000,8,64,0.030,33,16,17,0,32,784
PrefixSum,2,1024,4000,8,64,0.040,0,0,0,0,0,784
WarpLevel (Gallatin),2,1024,4000,8,128,0.035,65,32,33,0,64,784
PrefixSum,2,1024,4000,8,128,0.039,0,0,0,0,0,784
WarpLevel (Gallatin),2,1024,4000,8,256,0.048,129,64,65,0,128,784
PrefixSum,2,1024,4000,8,256,0.039,0,0,0,0,0,784
WarpLevel (Gallatin),2,1024,4000,32,64,0.065,129,64,65,0,128,784
PrefixSum,2,1024,4000,32,64,0.040,0,0,0,0,0,784
WarpLevel (Gallatin),2,1024,4000,32,128,0.081,257,128,129,0,256,784
PrefixSum,2,1024,4000,32,128,0.040,0,0,0,0,0,784
WarpLevel (Gallatin),2,1024,4000,32,256,0.119,513,256,257,0,512,784
PrefixSum,2,1024,4000,32,256,0.039,0,0,0,0,0,784
WarpLevel (Gallatin),2,1024,4000,128,64,0.242,513,256,257,0,512,784
PrefixSum,2,1024,4000,128,64,0.040,0,0,0,0,0,784
WarpLevel (Gallatin),2,1024,4000,128,128,0.299,1025,512,513,0,1024,784
PrefixSum,2,1024,4000,128,128,0.040,0,0,0,0,0,784
WarpLevel (Gallatin),2,1024,4000,128,256,0.428,2049,1024,1025,0,2048,784
PrefixSum,2,1024,4000,128,256,0.040,0,0,0,0,0,784
WarpLevel (Gallatin),2,1024,40000,1,64,0.201,9,2,3,4,8,7962
PrefixSum,2,1024,40000,1,64,0.170,0,0,0,0,0,7962
WarpLevel (Gallatin),2,1024,40000,1,128,0.117,13,4,5,4,12,7962
PrefixSum,2,1024,40000,1,128,0.109,0,0,0,0,0,7962
WarpLevel (Gallatin),2,1024,40000,1,256,0.076,17,8,9,0,16,7962
PrefixSum,2,1024,40000,1,256,0.078,0,0,0,0,0,7962
WarpLevel (Gallatin),2,1024,40000,8,64,0.048,33,16,17,0,32,7962
PrefixSum,2,1024,40000,8,64,0.055,0,0,0,0,0,7962
WarpLevel (Gallatin),2,1024,40000,8,128,0.043,65,32,33,0,64,7962
PrefixSum,2,1024,40000,8,128,0.047,0,0,0,0,0,7962
WarpLevel (Gallatin),2,1024,40000,8,256,0.051,129,64,65,0,128,7962
PrefixSum,2,1024,40000,8,256,0.044,0,0,0,0,0,7962
WarpLevel (Gallatin),2,1024,40000,32,64,0.067,129,64,65,0,128,7962
PrefixSum,2,1024,40000,32,64,0.043,0,0,0,0,0,7962
WarpLevel (Gallatin),2,1024,40000,32,128,0.083,257,128,129,0,256,7962
PrefixSum,2,1024,40000,32,128,0.043,0,0,0,0,0,7962
WarpLevel (Gallatin),2,1024,40000,32,256,0.122,513,256,257,0,512,7962
PrefixSum,2,1024,40000,32,256,0.042,0,0,0,0,0,7962
WarpLevel (Gallatin),2,1024,40000,128,64,0.242,513,256,257,0,512,7962
PrefixSum,2,1024,40000,128,64,0.043,0,0,0,0,0,7962
WarpLevel (Gallatin),2,1024,40000,128,128,0.321,1025,512,513,0,1024,7962
PrefixSum,2,1024,40000,128,128,0.040,0,0,0,0,0,7962
WarpLevel (Gallatin),2,1024,40000,128,256,0.482,2049,1024,1025,0,2048,7962
PrefixSum,2,1024,40000,128,256,0.041,0,0,0,0,0,7962
WarpLevel (Gallatin),2,1024,4000000,1,64,24.170,21,2,3,16,20,799948
PrefixSum,2,1024,4000000,1,64,23.392,0,0,0,0,0,799948
WarpLevel (Gallatin),2,1024,4000000,1,128,11.015,37,4,5,28,36,799948
PrefixSum,2,1024,4000000,1,128,11.735,0,0,0,0,0,799948
WarpLevel (Gallatin),2,1024,4000000,1,256,5.736,65,8,9,48,64,799948
PrefixSum,2,1024,4000000,1,256,6.068,0,0,0,0,0,799948
WarpLevel (Gallatin),2,1024,4000000,8,64,2.773,113,16,17,80,112,799948
PrefixSum,2,1024,4000000,8,64,3.000,0,0,0,0,0,799948
WarpLevel (Gallatin),2,1024,4000000,8,128,1.448,193,32,33,128,192,799948
PrefixSum,2,1024,4000000,8,128,1.589,0,0,0,0,0,799948
WarpLevel (Gallatin),2,1024,4000000,8,256,0.822,321,64,65,192,320,799948
PrefixSum,2,1024,4000000,8,256,0.889,0,0,0,0,0,799948
WarpLevel (Gallatin),2,1024,4000000,32,64,0.801,321,64,65,192,320,799948
PrefixSum,2,1024,4000000,32,64,0.868,0,0,0,0,0,799948
WarpLevel (Gallatin),2,1024,4000000,32,128,0.503,513,128,129,256,512,799948
PrefixSum,2,1024,4000000,32,128,0.547,0,0,0,0,0,799948
WarpLevel (Gallatin),2,1024,4000000,32,256,0.455,1024,256,257,511,1023,799948
PrefixSum,2,1024,4000000,32,256,0.385,0,0,0,0,0,799948
WarpLevel (Gallatin),2,1024,4000000,128,64,0.553,1024,256,257,511,1023,799948
PrefixSum,2,1024,4000000,128,64,0.361,0,0,0,0,0,799948
WarpLevel (Gallatin),2,1024,4000000,128,128,0.544,1537,512,513,512,1536,799948
PrefixSum,2,1024,4000000,128,128,0.392,0,0,0,0,0,799948
WarpLevel (Gallatin),2,1024,4000000,128,256,0.483,2049,1024,1025,0,2048,799948
PrefixSum,2,1024,4000000,128,256,0.520,0,0,0,0,0,799948
WarpLevel (Gallatin),2,1024,40000000,1,64,217.814,27,2,3,22,26,8000738
PrefixSum,2,1024,40000000,1,64,231.725,0,0,0,0,0,8000738
WarpLevel (Gallatin),2,1024,40000000,1,128,109.857,49,4,5,40,48,8000738
PrefixSum,2,1024,40000000,1,128,117.740,0,0,0,0,0,8000738
WarpLevel (Gallatin),2,1024,40000000,1,256,56.601,89,8,9,72,88,8000738
PrefixSum,2,1024,40000000,1,256,60.388,0,0,0,0,0,8000738
WarpLevel (Gallatin),2,1024,40000000,8,64,27.559,161,16,17,128,160,8000738
PrefixSum,2,1024,40000000,8,64,29.287,0,0,0,0,0,8000738
WarpLevel (Gallatin),2,1024,40000000,8,128,13.742,289,32,33,224,288,8000738
PrefixSum,2,1024,40000000,8,128,14.739,0,0,0,0,0,8000738
WarpLevel (Gallatin),2,1024,40000000,8,256,7.363,513,64,65,384,512,8000738
PrefixSum,2,1024,40000000,8,256,7.834,0,0,0,0,0,8000738
WarpLevel (Gallatin),2,1024,40000000,32,64,6.941,513,64,65,384,512,8000738
PrefixSum,2,1024,40000000,32,64,7.995,0,0,0,0,0,8000738
WarpLevel (Gallatin),2,1024,40000000,32,128,3.695,897,128,129,640,896,8000738
PrefixSum,2,1024,40000000,32,128,4.244,0,0,0,0,0,8000738
WarpLevel (Gallatin),2,1024,40000000,32,256,3.698,1538,256,258,1024,1537,8000738
PrefixSum,2,1024,40000000,32,256,2.737,0,0,0,0,0,8000738
WarpLevel (Gallatin),2,1024,40000000,128,64,2.516,1538,256,258,1024,1537,8000738
PrefixSum,2,1024,40000000,128,64,2.699,0,0,0,0,0,8000738
WarpLevel (Gallatin),2,1024,40000000,128,128,2.558,3075,512,515,2048,3074,8000738
PrefixSum,2,1024,40000000,128,128,4.320,0,0,0,0,0,8000738
WarpLevel (Gallatin),2,1024,40000000,128,256,3.188,5123,1024,1027,3072,5122,8000738
PrefixSum,2,1024,40000000,128,256,7.051,0,0,0,0,0,8000738
WarpLevel (Gallatin),2,1024,400000000,1,64,2160.745,35,2,3,30,34,80000786
PrefixSum,2,1024,400000000,1,64,2385.840,0,0,0,0,0,80000786
WarpLevel (Gallatin),2,1024,400000000,1,128,1091.954,65,4,5,56,64,80000786
PrefixSum,2,1024,400000000,1,128,1175.302,0,0,0,0,0,80000786
WarpLevel (Gallatin),2,1024,400000000,1,256,564.658,121,8,9,104,120,80000786
PrefixSum,2,1024,400000000,1,256,628.080,0,0,0,0,0,80000786
WarpLevel (Gallatin),2,1024,400000000,8,64,291.567,225,16,17,192,224,80000786
PrefixSum,2,1024,400000000,8,64,312.051,0,0,0,0,0,80000786
WarpLevel (Gallatin),2,1024,400000000,8,128,145.789,417,32,33,352,416,80000786
PrefixSum,2,1024,400000000,8,128,163.966,0,0,0,0,0,80000786
WarpLevel (Gallatin),2,1024,400000000,8,256,88.858,769,64,65,640,768,80000786
PrefixSum,2,1024,400000000,8,256,100.393,0,0,0,0,0,80000786
WarpLevel (Gallatin),2,1024,400000000,32,64,71.788,769,64,65,640,768,80000786
PrefixSum,2,1024,400000000,32,64,80.113,0,0,0,0,0,80000786
WarpLevel (Gallatin),2,1024,400000000,32,128,43.551,1410,128,130,1152,1409,80000786
PrefixSum,2,1024,400000000,32,128,42.439,0,0,0,0,0,80000786
WarpLevel (Gallatin),2,1024,400000000,32,256,36.290,2563,256,259,2048,2562,80000786
PrefixSum,2,1024,400000000,32,256,27.670,0,0,0,0,0,80000786
WarpLevel (Gallatin),2,1024,400000000,128,64,20.680,2563,256,259,2048,2562,80000786
PrefixSum,2,1024,400000000,128,64,25.676,0,0,0,0,0,80000786
WarpLevel (Gallatin),2,1024,400000000,128,128,23.339,4611,512,515,3584,4610,80000786
PrefixSum,2,1024,400000000,128,128,47.811,0,0,0,0,0,80000786
WarpLevel (Gallatin),2,1024,400000000,128,256,24.322,8196,1024,1028,6144,8195,80000786
PrefixSum,2,1024,400000000,128,256,74.961,0,0,0,0,0,80000786
WarpLevel (Gallatin),5,1024,4000,1,64,0.048,5,2,3,0,4,784
PrefixSum,5,1024,4000,1,64,0.068,0,0,0,0,0,784
WarpLevel (Gallatin),5,1024,4000,1,128,0.038,9,4,5,0,8,784
PrefixSum,5,1024,4000,1,128,0.098,0,0,0,0,0,784
WarpLevel (Gallatin),5,1024,4000,1,256,0.037,17,8,9,0,16,784
PrefixSum,5,1024,4000,1,256,0.044,0,0,0,0,0,784
WarpLevel (Gallatin),5,1024,4000,8,64,0.031,33,16,17,0,32,784
PrefixSum,5,1024,4000,8,64,0.043,0,0,0,0,0,784
WarpLevel (Gallatin),5,1024,4000,8,128,0.036,65,32,33,0,64,784
PrefixSum,5,1024,4000,8,128,0.041,0,0,0,0,0,784
WarpLevel (Gallatin),5,1024,4000,8,256,0.048,129,64,65,0,128,784
PrefixSum,5,1024,4000,8,256,0.042,0,0,0,0,0,784
WarpLevel (Gallatin),5,1024,4000,32,64,0.071,129,64,65,0,128,784
PrefixSum,5,1024,4000,32,64,0.042,0,0,0,0,0,784
WarpLevel (Gallatin),5,1024,4000,32,128,0.081,257,128,129,0,256,784
PrefixSum,5,1024,4000,32,128,0.042,0,0,0,0,0,784
WarpLevel (Gallatin),5,1024,4000,32,256,0.129,513,256,257,0,512,784
PrefixSum,5,1024,4000,32,256,0.042,0,0,0,0,0,784
WarpLevel (Gallatin),5,1024,4000,128,64,0.258,513,256,257,0,512,784
PrefixSum,5,1024,4000,128,64,0.049,0,0,0,0,0,784
WarpLevel (Gallatin),5,1024,4000,128,128,0.325,1025,512,513,0,1024,784
PrefixSum,5,1024,4000,128,128,0.044,0,0,0,0,0,784
WarpLevel (Gallatin),5,1024,4000,128,256,0.475,2049,1024,1025,0,2048,784
PrefixSum,5,1024,4000,128,256,0.104,0,0,0,0,0,784
WarpLevel (Gallatin),5,1024,40000,1,64,0.306,9,2,3,4,8,7962
PrefixSum,5,1024,40000,1,64,0.348,0,0,0,0,0,7962
WarpLevel (Gallatin),5,1024,40000,1,128,0.174,13,4,5,4,12,7962
PrefixSum,5,1024,40000,1,128,0.202,0,0,0,0,0,7962
WarpLevel (Gallatin),5,1024,40000,1,256,0.107,17,8,9,0,16,7962
PrefixSum,5,1024,40000,1,256,0.126,0,0,0,0,0,7962
WarpLevel (Gallatin),5,1024,40000,8,64,0.064,33,16,17,0,32,7962
PrefixSum,5,1024,40000,8,64,0.079,0,0,0,0,0,7962
WarpLevel (Gallatin),5,1024,40000,8,128,0.055,65,32,33,0,64,7962
PrefixSum,5,1024,40000,8,128,0.062,0,0,0,0,0,7962
WarpLevel (Gallatin),5,1024,40000,8,256,0.063,129,64,65,0,128,7962
PrefixSum,5,1024,40000,8,256,0.064,0,0,0,0,0,7962
WarpLevel (Gallatin),5,1024,40000,32,64,0.084,129,64,65,0,128,7962
PrefixSum,5,1024,40000,32,64,0.051,0,0,0,0,0,7962
WarpLevel (Gallatin),5,1024,40000,32,128,0.092,257,128,129,0,256,7962
PrefixSum,5,1024,40000,32,128,0.047,0,0,0,0,0,7962
WarpLevel (Gallatin),5,1024,40000,32,256,0.139,513,256,257,0,512,7962
PrefixSum,5,1024,40000,32,256,0.057,0,0,0,0,0,7962
WarpLevel (Gallatin),5,1024,40000,128,64,0.271,513,256,257,0,512,7962
PrefixSum,5,1024,40000,128,64,0.045,0,0,0,0,0,7962
WarpLevel (Gallatin),5,1024,40000,128,128,0.349,1025,512,513,0,1024,7962
